VOC              TOG
000000 2294000000  1.12
000000 2296000000  1.12
000000 2311000000  1.12
000000 2101004000  1.12
000000 2101006000  1.12
000000 2199004000  1.12
000000 2199006000  1.12
000000 2294000001  1.12
000000 2294000002  1.12
000000 2294005000  1.12
000000 2294005001  1.12
000000 2294005002  1.12
000000 2294010000  1.12
000000 2294010001  1.12
000000 2294010002  1.12
000000 2294015000  1.12
000000 2294015001  1.12
000000 2294015002  1.12
000000 2296005000  1.12
000000 2296010000  1.12
000000 2305080000  1.12
000000 2311000010  1.12
000000 2311000020  1.12
000000 2311000030  1.12
000000 2311000040  1.12
000000 2311000050  1.12
000000 2311000060  1.12
000000 2311000080  1.12
000000 2311000100  1.12
000000 2311010000  1.12
000000 2311010010  1.12
000000 2311010020  1.12
000000 2311010030  1.12
000000 2311010040  1.12
000000 2311010050  1.12
000000 2311010060  1.12
000000 2311010080  1.12
000000 2311010100  1.12
000000 2311020000  1.12
000000 2311020010  1.12
000000 2311020020  1.12
000000 2311020030  1.12
000000 2311020040  1.12
000000 2311020050  1.12
000000 2311020060  1.12
000000 2311020080  1.12
000000 2311020100  1.12
000000 2311030000  1.12
000000 2311030010  1.12
000000 2311030020  1.12
000000 2311030030  1.12
000000 2311030040  1.12
000000 2311030050  1.12
000000 2311030060  1.12
000000 2311030080  1.12
000000 2311030100  1.12
000000 2311040000  1.12
000000 2311040080  1.12
000000 2311040100  1.12
000000 2312000000  1.12
000000 2312050000  1.12
000000 2325000000  1.12
000000 2325010000  1.12
000000 2325020000  1.12
000000 2325030000  1.12
000000 2399000000  1.12
000000 2530000000  1.12
000000 2530000020  1.12
000000 2530000040  1.12
000000 2530000060  1.12
000000 2530000080  1.12
000000 2530000100  1.12
000000 2530000120  1.12
000000 2530010000  1.12
000000 2530010020  1.12
000000 2530010040  1.12
000000 2530010060  1.12
000000 2530010080  1.12
000000 2530010100  1.12
000000 2530010120  1.12
000000 2530050000  1.12
000000 2530050020  1.12
000000 2530050040  1.12
000000 2530050060  1.12
000000 2530050080  1.12
000000 2530050100  1.12
000000 2530050120  1.12
000000 2535000000  1.12
000000 2535000020  1.12
000000 2535000040  1.12
000000 2535000060  1.12
000000 2535000080  1.12
000000 2535000100  1.12
000000 2535000120  1.12
000000 2535000140  1.12
000000 2535010000  1.12
000000 2535010020  1.12
000000 2535010040  1.12
000000 2535010060  1.12
000000 2535010080  1.12
000000 2535010100  1.12
000000 2535010120  1.12
000000 2535010140  1.12
000000 2535020000  1.12
000000 2535020020  1.12
000000 2535020040  1.12
000000 2535020060  1.12
000000 2535020080  1.12
000000 2535020100  1.12
