# Speciation profile for CMAQ
#   RADM speciation for TOG only (not VOC)
#   PM2.5 speciation for CMAQ species
#   Additional special SO2 profiles that generate SULF (not mass conserving)
#
#   Revision history
#     Created 10/15/01
#     BEIS 3.09 profile created 4/1/01 and added 8/3/03
#     AXQ added for BC/OC  2008.01.28
#     AXQ modified for ind liv for EC/OC 2008/03
#     AXQ added for VOC profile (for china_Cao) 
0000  CO               CO                           1            28         1
0000  ISOP             ISO                          1         68.12         1
0000  NH3              NH3                          1            17         1
0000  NO               NO                           1            30         1
0000  NOX              NO                        0.90            46      0.90
0000  NOX              NO2                       0.10            46      0.10
0000  OVOC             HC3                      0.343           148      0.85
0000  OVOC             OLI                        0.1           148       0.1
0000  SO2              SO2                          1            64         1
0000  SO4              SULF                         1            96         1
0000  SOX              SO2                          1            64         1
0000  TERP             OLI                          1        136.23         1
0000  TERP             TERPB                      1.0        136.23       1.0
BV309 ISOP             ISO                        1.0            60    1.1333 
BV309 NO               NO                         1.0            14    2.1429
BV309 OVOC             HC3                      0.343           120    1.0483 
BV309 OVOC             OLI                        0.1           120    0.1233 
BV309 MONO             OLI                        1.0           120    1.1333
BV309 MONO             TERPB                      1.0           120    1.1333 
0000  TOG              ALD              0.00058287205             1    0.0344
0000  TOG              CH4              0.00458852868             1    0.0736
0000  TOG              CSL              0.00011031343             1    0.0119
0000  TOG              ETH              0.00046225474             1    0.0139
0000  TOG              HC3              0.00181559025             1    0.1401
0000  TOG              HC5              0.00110641853             1    0.0823
0000  TOG              HC8              0.00139833337             1  0.146977
0000  TOG              HCHO             0.00051615052             1    0.0155
0000  TOG              KET              0.00039392762             1    0.0436
0000  TOG              OL2              0.00101960784             1    0.0286
0000  TOG              OLI              0.00034797477             1   0.02765
0000  TOG              OLT              0.00074967615             1   0.05245
0000  TOG              ORA2             0.00036769972             1    0.0264
0000  TOG              TOL              0.00056064651             1    0.0922
0000  TOG              XYL              0.00032706575             1  0.038523
M300  NOX              NO                        0.62            30      0.62
M300  NOX              NO2                       0.05            46      0.05
M6PMa SO4              PSO4                1.0000        1.0000        1.0000
M6PMa OCARB25          POA                 1.0000        1.0000        1.0000
M6PMa ECARB25          PEC                 1.0000        1.0000        1.0000
M6PMa BRAKE25          PMFINE              1.0000        1.0000        1.0000
M6PMa TIRE25           PMFINE              1.0000        1.0000        1.0000
M6PMa OCARBPMC         PMC                 1.0000        1.0000        1.0000
M6PMa ECARBPMC         PMC                 1.0000        1.0000        1.0000
M6PMa GASPMC           PMC                 1.0000        1.0000        1.0000
M6PMa BRAKEPMC         PMC                 1.0000        1.0000        1.0000
M6PMa TIREPMC          PMC                 1.0000        1.0000        1.0000
M6Plg GASPM25          POA                 0.7100        1.0000        0.7100
M6Plg GASPM25          PEC                 0.2900        1.0000        0.2900
M6Phd GASPM25          POA                 0.2000        1.0000        0.2000
M6Phd GASPM25          PEC                 0.8000        1.0000        0.8000
M6Pld GASPM25          POA                 0.3300        1.0000        0.3300
M6Pld GASPM25          PEC                 0.6700        1.0000        0.6700
95014 SO2              SO2                          1         64            1
95014 SO2             SULF                0.022565789         98  0.022565789
87514 SO2              SO2                          1         64            1
87514 SO2             SULF                     0.0245         98       0.0245
75014 SO2              SO2                          1         64            1
75014 SO2             SULF                0.028583333         98  0.028583333
99010 SO2              SO2                          1         64            1
99010 SO2             SULF                0.015467172         98  0.015467172
95014 SOX              SO2                          1         64            1
95014 SOX             SULF                0.022565789         98  0.022565789
87514 SOX              SO2                          1         64            1
87514 SOX             SULF                     0.0245         98       0.0245
75014 SOX              SO2                          1         64            1
75014 SOX             SULF                0.028583333         98  0.028583333
99010 SOX              SO2                          1         64            1
99010 SOX             SULF                0.015467172         98  0.015467172
9996  TOG              NO               0.03333333333             1         1  ! added AXQ for big
9997  TOG              ISOP             0.01470588235             1         1  ! added AXQ for big
9998  TOG              TERPB            0.00735294117             1         1  ! added AXQ for big
9999  TOG              NR                    0.003125             1      0.05  ! added AXQ for big
9999  TOG              OLE              0.00357142857             1       0.1  ! added AXQ for big
